Episode: 001, Reward: -21.0 | Mean reward: -21.0
Episode: 002, Reward: -20.0 | Mean reward: -20.5
Episode: 003, Reward: -19.0 | Mean reward: -20.0
Episode: 004, Reward: -21.0 | Mean reward: -20.25
Episode: 005, Reward: -20.0 | Mean reward: -20.2
Episode: 006, Reward: -21.0 | Mean reward: -20.333333333333332
Episode: 007, Reward: -21.0 | Mean reward: -20.428571428571427
Episode: 008, Reward: -20.0 | Mean reward: -20.375
Episode: 009, Reward: -21.0 | Mean reward: -20.444444444444443
Episode: 010, Reward: -20.0 | Mean reward: -20.4
Episode: 011, Reward: -19.0 | Mean reward: -20.272727272727273
Episode: 012, Reward: -19.0 | Mean reward: -20.166666666666668
Episode: 013, Reward: -21.0 | Mean reward: -20.23076923076923
Episode: 014, Reward: -20.0 | Mean reward: -20.214285714285715
Episode: 015, Reward: -21.0 | Mean reward: -20.266666666666666
Episode: 016, Reward: -20.0 | Mean reward: -20.25
Episode: 017, Reward: -20.0 | Mean reward: -20.235294117647058
Episode: 018, Reward: -20.0 | Mean reward: -20.22222222222222
Episode: 019, Reward: -20.0 | Mean reward: -20.210526315789473
Episode: 020, Reward: -21.0 | Mean reward: -20.25
Episode: 021, Reward: -20.0 | Mean reward: -20.238095238095237
Episode: 022, Reward: -21.0 | Mean reward: -20.272727272727273
Episode: 023, Reward: -21.0 | Mean reward: -20.304347826086957
Episode: 024, Reward: -19.0 | Mean reward: -20.25
Episode: 025, Reward: -20.0 | Mean reward: -20.24
Episode: 026, Reward: -20.0 | Mean reward: -20.23076923076923
Episode: 027, Reward: -19.0 | Mean reward: -20.185185185185187
Episode: 028, Reward: -21.0 | Mean reward: -20.214285714285715
Episode: 029, Reward: -20.0 | Mean reward: -20.20689655172414
Episode: 030, Reward: -18.0 | Mean reward: -20.133333333333333
Episode: 031, Reward: -20.0 | Mean reward: -20.129032258064516
Episode: 320, Reward: -21.0 | Mean reward: -20.15625
Episode: 303, Reward: -20.0 | Mean reward: -20.151515151515152
Episode: 304, Reward: -19.0 | Mean reward: -20.11764705882353
Episode: 035, Reward: -19.0 | Mean reward: -20.085714285714285
Episode: 036, Reward: -18.0 | Mean reward: -20.02777777777778
Episode: 037, Reward: -21.0 | Mean reward: -20.054054054054053
Episode: 038, Reward: -21.0 | Mean reward: -20.07894736842105
Episode: 039, Reward: -20.0 | Mean reward: -20.076923076923077
Episode: 040, Reward: -19.0 | Mean reward: -20.05
Episode: 041, Reward: -20.0 | Mean reward: -20.048780487804876
Episode: 042, Reward: -21.0 | Mean reward: -20.071428571428573
Episode: 043, Reward: -19.0 | Mean reward: -20.046511627906977
Episode: 044, Reward: -19.0 | Mean reward: -20.022727272727273
Episode: 045, Reward: -21.0 | Mean reward: -20.044444444444444
Episode: 046, Reward: -21.0 | Mean reward: -20.065217391304348
Episode: 047, Reward: -19.0 | Mean reward: -20.04255319148936
Episode: 048, Reward: -20.0 | Mean reward: -20.041666666666668
Episode: 049, Reward: -20.0 | Mean reward: -20.040816326530614
Episode: 050, Reward: -20.0 | Mean reward: -20.04
Episode: 051, Reward: -20.0 | Mean reward: -20.03921568627451
Episode: 502, Reward: -21.0 | Mean reward: -20.057692307692307
Episode: 053, Reward: -21.0 | Mean reward: -20.07547169811321
Episode: 054, Reward: -21.0 | Mean reward: -20.09259259259259
Episode: 055, Reward: -20.0 | Mean reward: -20.09090909090909
Episode: 056, Reward: -20.0 | Mean reward: -20.089285714285715
Episode: 057, Reward: -21.0 | Mean reward: -20.105263157894736
Episode: 058, Reward: -20.0 | Mean reward: -20.103448275862068
Episode: 059, Reward: -21.0 | Mean reward: -20.11864406779661
Episode: 060, Reward: -20.0 | Mean reward: -20.116666666666667
Episode: 061, Reward: -20.0 | Mean reward: -20.114754098360656
Episode: 062, Reward: -21.0 | Mean reward: -20.129032258064516
Episode: 063, Reward: -20.0 | Mean reward: -20.126984126984127
Episode: 064, Reward: -20.0 | Mean reward: -20.125
Episode: 065, Reward: -20.0 | Mean reward: -20.123076923076923
Episode: 066, Reward: -21.0 | Mean reward: -20.136363636363637
Episode: 067, Reward: -21.0 | Mean reward: -20.149253731343283
Episode: 068, Reward: -21.0 | Mean reward: -20.16176470588235
Episode: 069, Reward: -18.0 | Mean reward: -20.130434782608695
Episode: 070, Reward: -21.0 | Mean reward: -20.142857142857142
Episode: 071, Reward: -20.0 | Mean reward: -20.140845070422536
Episode: 072, Reward: -20.0 | Mean reward: -20.13888888888889
Episode: 073, Reward: -19.0 | Mean reward: -20.123287671232877
Episode: 074, Reward: -20.0 | Mean reward: -20.12162162162162
Episode: 075, Reward: -21.0 | Mean reward: -20.133333333333333
Episode: 076, Reward: -21.0 | Mean reward: -20.144736842105264
Episode: 077, Reward: -20.0 | Mean reward: -20.142857142857142
Episode: 078, Reward: -20.0 | Mean reward: -20.141025641025642
Episode: 079, Reward: -20.0 | Mean reward: -20.139240506329113
Episode: 080, Reward: -20.0 | Mean reward: -20.1375
Episode: 081, Reward: -21.0 | Mean reward: -20.14814814814815
Episode: 082, Reward: -21.0 | Mean reward: -20.158536585365855
Episode: 083, Reward: -20.0 | Mean reward: -20.156626506024097
Episode: 084, Reward: -21.0 | Mean reward: -20.166666666666668
Episode: 085, Reward: -21.0 | Mean reward: -20.176470588235293
Episode: 086, Reward: -20.0 | Mean reward: -20.174418604651162
Episode: 087, Reward: -21.0 | Mean reward: -20.183908045977013
Episode: 088, Reward: -19.0 | Mean reward: -20.170454545454547
Episode: 089, Reward: -21.0 | Mean reward: -20.179775280898877
Episode: 090, Reward: -19.0 | Mean reward: -20.166666666666668
Episode: 091, Reward: -21.0 | Mean reward: -20.175824175824175
Episode: 092, Reward: -20.0 | Mean reward: -20.17391304347826
Episode: 093, Reward: -21.0 | Mean reward: -20.182795698924732
Episode: 094, Reward: -21.0 | Mean reward: -20.19148936170213
Episode: 095, Reward: -21.0 | Mean reward: -20.2
Episode: 096, Reward: -21.0 | Mean reward: -20.208333333333332
Episode: 097, Reward: -19.0 | Mean reward: -20.195876288659793
Episode: 098, Reward: -21.0 | Mean reward: -20.20408163265306
Episode: 099, Reward: -21.0 | Mean reward: -20.21212121212121
